,returned,order_id,region
71,Yes,MX-2013-DO1364512-41461,Caribbean
72,Yes,CG-2013-SC1030533-41538,Central Africa
73,Yes,SI-2015-SM10005115-42252,Southern Europe
74,Yes,IN-2012-GT1471058-41158,Southern Asia
75,Yes,ID-2013-SC2080059-41380,Southeastern Asia
76,Yes,MX-2013-HF1499518-41423,South America
77,Yes,ES-2012-AG1049545-41002,Western Europe
78,Yes,IN-2015-SD2048527-42259,Eastern Asia
79,Yes,CA-2012-PC18745140-41273,Eastern US
80,Yes,US-2015-DH13075140-42092,Western US
81,Yes,ES-2015-LR1691545-42237,Western Europe
82,Yes,SF-2015-CD1920117-42055,Southern Africa
83,Yes,ES-2012-TT2146045-41014,Western Europe
84,Yes,IN-2015-PS1904558-42272,Southern Asia
85,Yes,CA-2015-KL16555140-42313,Southern US
86,Yes,US-2013-PO1918082-41504,Central America
87,Yes,ID-2015-JG15310130-42133,Southeastern Asia
88,Yes,ES-2014-MG17680120-41867,Southern Europe
89,Yes,ES-2015-RA1994548-42249,Western Europe
90,Yes,IT-2015-KD1634545-42238,Western Europe
91,Yes,CA-2012-DP13165140-41244,Eastern US
92,Yes,CA-2014-EH13765140-41997,Western US
93,Yes,ID-2015-TB214007-42322,Oceania
94,Yes,MX-2013-ES1408018-41619,South America
95,Yes,IN-2012-TB2152059-41207,Southeastern Asia
96,Yes,ES-2012-MR1754564-41157,Southern Europe
97,Yes,IN-2015-GW1460558-42173,Southern Asia
98,Yes,CA-2013-JK15205140-41544,Southern US
99,Yes,IN-2015-GM1445558-42273,Southern Asia
100,Yes,CA-2015-MG18145140-42285,Western US
101,Yes,CA-2013-EM13960140-41548,Western US
102,Yes,ES-2014-RM1937545-41643,Western Europe
103,Yes,IN-2012-GG1465027-40992,Eastern Asia
104,Yes,IN-2014-TB2140066-41873,Eastern Asia
105,Yes,MX-2015-MP1796518-42189,South America
106,Yes,US-2012-LT17110140-41060,Southern US
107,Yes,ES-2013-BF1117048-41527,Western Europe
108,Yes,ID-2013-CC126857-41572,Oceania
109,Yes,ES-2013-AJ1094548-41444,Western Europe
110,Yes,US-2015-GZ14545140-42212,Western US
111,Yes,ES-2015-BM1165045-42176,Western Europe
112,Yes,ID-2014-RD197207-41776,Oceania
113,Yes,MX-2015-DB1336018-42280,South America
114,Yes,US-2012-CV12295140-40995,Central US
115,Yes,IT-2013-BF1102045-41418,Western Europe
116,Yes,IN-2015-LT1676511-42286,Southern Asia
117,Yes,IN-2015-VB217451-42349,Southern Asia
118,Yes,IT-2014-JG15115104-41952,Southern Europe
119,Yes,MX-2012-JP1552018-41174,South America
120,Yes,MX-2012-RD1993051-41223,Central America
121,Yes,IN-2015-AT1043559-42243,Southeastern Asia
122,Yes,IN-2012-SC2069559-41248,Southeastern Asia
123,Yes,ES-2012-ER13855120-41159,Southern Europe
124,Yes,ES-2012-TB2162545-41262,Western Europe
125,Yes,ES-2013-CM124458-41375,Western Europe
126,Yes,US-2012-BF11170140-41266,Western US
127,Yes,ID-2014-CJ1187592-41831,Oceania
128,Yes,RS-2015-GG4650108-42102,Eastern Europe
129,Yes,ES-2015-KA1652545-42353,Western Europe
130,Yes,MX-2014-CW1190593-41788,Central America
131,Yes,MX-2015-SV2078582-42347,Central America
132,Yes,ES-2012-DJ1351048-40923,Western Europe
133,Yes,CA-2014-HF14995140-41761,Southern US
134,Yes,CA-2014-CL12565140-41788,Western US
135,Yes,CA-2012-LR16915140-41128,Western US
136,Yes,CA-2015-KH16510140-42347,Western US
137,Yes,MX-2015-KC1667518-42070,South America
138,Yes,CA-2014-ON18715140-41959,Southern US
139,Yes,IN-2013-MA1799559-41314,Southeastern Asia
140,Yes,IS-2014-RA928563-41916,Western Asia
141,Yes,IN-2012-TB2162588-41177,Southeastern Asia
142,Yes,IN-2012-MC1784559-41116,Southeastern Asia
143,Yes,ID-2014-KH16690144-41991,Southeastern Asia
144,Yes,ES-2015-AT1073545-42367,Western Europe
145,Yes,ES-2014-PO1885048-41898,Western Europe
146,Yes,CA-2015-EB13750140-42111,Southern US
147,Yes,EG-2015-AC66038-42250,North Africa
148,Yes,IN-2013-TH2111558-41488,Southern Asia
149,Yes,ES-2012-GH14485139-41054,Northern Europe
150,Yes,ES-2014-LL1684048-41986,Western Europe
151,Yes,CA-2014-NS18640140-41985,Eastern US
152,Yes,ID-2012-MD1786059-40965,Southeastern Asia
153,Yes,ES-2012-TB2140048-40968,Western Europe
154,Yes,RS-2015-TB11520108-42126,Eastern Europe
155,Yes,ID-2015-BG1169588-42012,Southeastern Asia
156,Yes,CA-2014-ES14020140-41802,Eastern US
157,Yes,ES-2015-HG14965120-42080,Southern Europe
158,Yes,MX-2012-SW2075593-41250,Central America
159,Yes,CA-2012-BP11095140-41261,Western US
160,Yes,IN-2014-BG110357-41735,Oceania
161,Yes,ES-2015-EB1417064-42012,Southern Europe
162,Yes,MX-2015-EH1418531-42166,Caribbean
163,Yes,IN-2015-DS1303058-42173,Southern Asia
164,Yes,CA-2015-AG10900140-42126,Southern US
165,Yes,ES-2013-DE1325545-41278,Western Europe
166,Yes,SA-2013-JD6150110-41600,Western Asia
167,Yes,ID-2015-HA1490592-42287,Oceania
168,Yes,CA-2013-IM15070140-41459,Central US
169,Yes,US-2015-TZ2144518-42259,South America
170,Yes,ES-2015-DK1309045-42158,Western Europe
171,Yes,MX-2013-PT1909082-41579,Central America
172,Yes,ES-2015-EB141108-42267,Western Europe
173,Yes,SF-2014-JD6060117-41648,Southern Africa
174,Yes,ES-2015-AR1051045-42234,Western Europe
175,Yes,IN-2013-CL1270027-41555,Eastern Asia
176,Yes,ES-2015-AH1012045-42057,Western Europe
177,Yes,IT-2013-ZD2192548-41503,Western Europe
178,Yes,IN-2014-DJ1342058-41646,Southern Asia
179,Yes,ES-2014-LC1705048-41718,Western Europe
180,Yes,MX-2014-AJ1096031-41801,Caribbean
181,Yes,CA-2014-CP12340140-41808,Eastern US
182,Yes,IN-2013-JK1609027-41615,Eastern Asia
183,Yes,AJ-2013-SG108909-41580,Western Asia
184,Yes,MX-2015-DV1304593-42215,Central America
185,Yes,ES-2013-TP2156545-41598,Western Europe
186,Yes,US-2015-HG1484551-42171,Central America
187,Yes,IN-2014-AM103607-41864,Oceania
188,Yes,CA-2015-DO13645140-42263,Western US
189,Yes,ES-2014-JP1552045-41871,Western Europe
190,Yes,MX-2013-JR1621037-41627,South America
191,Yes,MX-2013-RL1961582-41572,Central America
192,Yes,ES-2014-EP1391548-42004,Western Europe
193,Yes,IN-2013-CD1228058-41311,Southern Asia
194,Yes,MX-2013-EC1405018-41599,South America
195,Yes,MX-2013-PO1885051-41338,Central America
196,Yes,CA-2012-FP14320140-41251,Eastern US
197,Yes,MX-2012-YS2188093-41060,Central America
198,Yes,IN-2013-CC1261027-41286,Eastern Asia
199,Yes,IN-2014-DB1321027-41899,Eastern Asia
200,Yes,MX-2014-JR1570036-41775,Caribbean
201,Yes,CA-2013-VD21670140-41583,Southern US
202,Yes,CA-2014-BM11785140-41835,Central US
203,Yes,ES-2014-JP16135139-41899,Northern Europe
204,Yes,US-2012-KB1631598-41064,Central America
205,Yes,IN-2012-AM10705130-41151,Southeastern Asia
206,Yes,MX-2015-SC2038093-42151,Central America
207,Yes,GH-2013-MH729049-41615,Western Africa
208,Yes,IN-2013-NC1834058-41385,Southern Asia
209,Yes,CA-2013-EB14110140-41377,Western US
210,Yes,IN-2015-JF1549078-42334,Southeastern Asia
211,Yes,ID-2015-HM148607-42243,Oceania
212,Yes,CA-2014-NS18505140-41968,Central US
213,Yes,ID-2013-AO1081059-41556,Southeastern Asia
214,Yes,CA-2015-VW21775140-42326,Eastern US
215,Yes,MO-2013-NK849086-41366,North Africa
216,Yes,IN-2014-KL1655592-41857,Oceania
217,Yes,CA-2014-SN20560140-41817,Central US
218,Yes,MX-2014-SJ2012539-41908,Central America
219,Yes,MX-2015-DP1316593-42293,Central America
220,Yes,ES-2013-MN1793548-41466,Western Europe
221,Yes,SA-2014-SJ10125110-41944,Western Asia
222,Yes,IT-2015-ME18010124-42235,Northern Europe
223,Yes,CA-2015-AD10180140-42340,Eastern US
224,Yes,ID-2014-TB2125059-41973,Southeastern Asia
225,Yes,IN-2013-PS187607-41402,Oceania
226,Yes,CA-2012-MC17425140-41058,Central US
227,Yes,US-2014-DA134505-41926,South America
228,Yes,ID-2015-EN137807-42312,Oceania
229,Yes,MX-2015-CB1241598-42333,Central America
230,Yes,HU-2015-JP552057-42249,Eastern Europe
231,Yes,CA-2012-KH16630140-41213,Southern US
232,Yes,CA-2012-BS11755140-41046,Eastern US
233,Yes,US-2015-SJ2021554-42255,Caribbean
234,Yes,MX-2012-KT1646518-41017,South America
235,Yes,MX-2015-AS1028518-42351,South America
236,Yes,MX-2015-SC2068082-42231,Central America
237,Yes,ES-2014-MW1822048-41998,Western Europe
238,Yes,MX-2013-MF1766551-41402,Central America
239,Yes,CA-2014-JM15535140-41998,Eastern US
240,Yes,CA-2012-CC247523-41031,Eastern Canada
241,Yes,CA-2012-NC18535140-41112,Western US
242,Yes,IN-2013-MM172607-41395,Oceania
243,Yes,IN-2013-PR1888027-41430,Eastern Asia
244,Yes,NI-2014-RA994595-41979,Western Africa
245,Yes,US-2012-RB19435140-41237,Western US
246,Yes,ES-2014-LP17095139-41772,Northern Europe
247,Yes,MX-2014-FA1423055-41976,Central America
248,Yes,IN-2014-SH19975130-41975,Southeastern Asia
249,Yes,CA-2014-GK14620140-41753,Western US
250,Yes,US-2012-DK1289598-41166,Central America
251,Yes,ES-2014-AB10165139-41888,Northern Europe
252,Yes,US-2014-SP20860140-41968,Western US
253,Yes,IT-2012-GD1459091-40988,Western Europe
254,Yes,IN-2014-NB1865527-41858,Eastern Asia
255,Yes,PL-2012-JD5790103-41249,Eastern Europe
256,Yes,KE-2015-JH598569-42317,Eastern Africa
257,Yes,MX-2014-DC1328518-41751,South America
258,Yes,ES-2014-HG1502548-41783,Western Europe
259,Yes,IV-2014-AM70529-41678,Western Africa
260,Yes,RO-2014-ND8370107-41839,Eastern Europe
261,Yes,EG-2015-AY55538-42121,North Africa
262,Yes,MO-2014-KH669086-41830,North Africa
263,Yes,IN-2014-SR2074027-41767,Eastern Asia
264,Yes,IN-2013-MF176657-41300,Oceania
265,Yes,ES-2013-HM1498064-41289,Southern Europe
266,Yes,MX-2015-DL1331582-42335,Central America
267,Yes,US-2013-MW1822036-41387,Caribbean
268,Yes,US-2014-BG11695140-42001,Central US
269,Yes,MX-2014-SW2075582-41811,Central America
270,Yes,MO-2014-MO795086-41706,North Africa
271,Yes,MX-2015-PO1885082-42279,Central America
272,Yes,US-2014-DR12880140-41723,Western US
273,Yes,CA-2012-AG10525140-41153,Central US
274,Yes,IT-2013-KH1669045-41490,Western Europe
275,Yes,US-2012-JP155205-41153,South America
276,Yes,CG-2015-AM70533-42233,Central Africa
277,Yes,CA-2015-AJ10945140-42248,Central US
278,Yes,MX-2013-SO2033526-41400,South America
279,Yes,IN-2012-TS2150559-40990,Southeastern Asia
280,Yes,CA-2015-MV17485140-42333,Western US
281,Yes,IN-2015-SC2038027-42306,Eastern Asia
282,Yes,IT-2012-JC1610564-41053,Southern Europe
283,Yes,CA-2015-LE16810140-42348,Western US
284,Yes,US-2013-BB1099036-41379,Caribbean
285,Yes,TU-2013-AH195134-41319,Western Asia
286,Yes,MX-2014-TS2120518-41791,South America
287,Yes,IR-2012-FH436560-41114,Southern Asia
288,Yes,MX-2014-SH2039582-41895,Central America
289,Yes,US-2014-GT14710140-41980,Western US
290,Yes,IR-2014-BN151560-41880,Southern Asia
291,Yes,ES-2012-SH2039545-40914,Western Europe
292,Yes,SA-2013-SC10260110-41451,Western Asia
293,Yes,CA-2014-BD11605140-41742,Southern US
294,Yes,IN-2012-VD2167059-41269,Southeastern Asia
295,Yes,ES-2015-MY17380120-42316,Southern Europe
296,Yes,CA-2015-LC16870140-42091,Southern US
297,Yes,IN-2012-TR2132527-41188,Eastern Asia
298,Yes,IN-2014-JC1538558-41815,Southern Asia
299,Yes,MX-2012-NG1843018-41201,South America
300,Yes,EG-2015-DM301538-42367,North Africa
301,Yes,BU-2014-CS186019-41993,Eastern Europe
302,Yes,ID-2014-CT11995118-41810,Eastern Asia
303,Yes,IN-2012-EH139907-41140,Oceania
304,Yes,CA-2012-RD19585140-41000,Southern US
305,Yes,CA-2015-CW11905140-42138,Eastern US
306,Yes,MX-2014-NC1862593-41955,Central America
307,Yes,MX-2013-RB1936082-41552,Central America
308,Yes,IN-2012-AS1028527-41034,Eastern Asia
309,Yes,IN-2014-AO108107-41721,Oceania
310,Yes,MX-2015-HG1484536-42070,Caribbean
311,Yes,ID-2015-JE1561097-42193,Southern Asia
312,Yes,ES-2014-CY1274564-41726,Southern Europe
313,Yes,IR-2014-SM1095060-41746,Southern Asia
314,Yes,US-2012-PB1915055-41157,Central America
315,Yes,ES-2014-JB1600048-41856,Western Europe
316,Yes,ES-2015-JC1577548-42328,Western Europe
317,Yes,IT-2014-LP1708091-41907,Western Europe
318,Yes,MX-2012-ME1732018-41164,South America
319,Yes,CA-2014-TS21655140-41999,Southern US
320,Yes,ES-2015-SV20935139-42369,Northern Europe
321,Yes,MX-2015-CJ12010141-42298,South America
322,Yes,CA-2012-SH20395140-41214,Western US
323,Yes,IN-2013-GM1445527-41622,Eastern Asia
324,Yes,CA-2013-MS17530140-41579,Southern US
325,Yes,US-2013-HD1478598-41583,Central America
326,Yes,US-2015-CB1202582-42305,Central America
327,Yes,CA-2015-BH11710140-42346,Southern US
328,Yes,MX-2012-MO1750016-41222,South America
329,Yes,ES-2012-MG17890139-41257,Northern Europe
330,Yes,CA-2013-PO19195140-41598,Eastern US
331,Yes,ES-2015-KW1643545-42032,Western Europe
332,Yes,CA-2013-SS20515140-41479,Southern US
333,Yes,MX-2012-RL1961539-40965,Central America
334,Yes,MX-2014-SZ2003531-41822,Caribbean
335,Yes,ID-2013-BT115307-41508,Oceania
336,Yes,MX-2012-TG2131018-41132,South America
337,Yes,CA-2012-TT21070140-41159,Southern US
338,Yes,CA-2015-TS21505140-42316,Western US
339,Yes,ES-2013-AW1084064-41519,Southern Europe
340,Yes,CA-2015-DV13045140-42350,Southern US
341,Yes,ES-2015-BP11185139-42175,Northern Europe
342,Yes,US-2015-EB13930140-42208,Central US
343,Yes,ES-2014-RS1942048-41831,Western Europe
344,Yes,CG-2012-MM828033-40983,Central Africa
345,Yes,MX-2013-JD1589536-41523,Caribbean
346,Yes,IN-2014-DB1291027-41870,Eastern Asia
347,Yes,ES-2014-DV1346564-41961,Southern Europe
348,Yes,MX-2015-JK1564055-42174,Central America
349,Yes,CA-2015-LW17215140-42106,Western US
350,Yes,MX-2012-PM1894031-41208,Caribbean
351,Yes,BU-2012-EH394519-41265,Eastern Europe
352,Yes,MX-2012-VM2183551-41185,Central America
353,Yes,CA-2012-AZ10750140-40992,Eastern US
354,Yes,IT-2015-KB1631564-42301,Southern Europe
355,Yes,IT-2015-EK13795139-42277,Northern Europe
356,Yes,ID-2015-AS1009058-42316,Southern Asia
357,Yes,MX-2015-MC1742593-42304,Central America
358,Yes,MX-2014-DW1358531-41779,Caribbean
359,Yes,ES-2015-AB1016545-42356,Western Europe
360,Yes,MX-2015-DG1330093-42319,Central America
361,Yes,MX-2013-SW2027536-41587,Caribbean
362,Yes,MX-2015-SP2065082-42257,Central America
363,Yes,IN-2014-CC125507-41963,Oceania
364,Yes,ES-2015-CW11905139-42288,Northern Europe
365,Yes,ZA-2015-SW10350146-42061,Eastern Africa
366,Yes,IN-2015-PR1888027-42125,Eastern Asia
367,Yes,ES-2014-DB1327045-41689,Western Europe
368,Yes,ES-2012-PM1894045-41145,Western Europe
369,Yes,CA-2013-AG10495140-41571,Central US
370,Yes,ES-2012-CD1198048-41151,Western Europe
371,Yes,ES-2015-SF20200139-42229,Northern Europe
372,Yes,MX-2012-BD1150093-41041,Central America
373,Yes,ES-2015-BE11410120-42225,Southern Europe
374,Yes,BN-2012-RW963015-41216,Western Africa
375,Yes,US-2014-HP148155-41906,South America
376,Yes,ES-2015-BF11170139-42174,Northern Europe
377,Yes,IN-2015-DB129707-42152,Oceania
378,Yes,CA-2012-EH13765140-41199,Eastern US
379,Yes,IN-2012-BB115457-41194,Oceania
380,Yes,IN-2012-SG206057-40978,Oceania
381,Yes,IN-2015-RH1951011-42040,Southern Asia
382,Yes,ZA-2014-JW6075146-41739,Eastern Africa
383,Yes,ES-2012-JA15970139-41080,Northern Europe
384,Yes,IN-2012-JR1567027-41031,Eastern Asia
385,Yes,ES-2013-JE1547545-41450,Western Europe
386,Yes,IT-2014-LS1720064-41954,Southern Europe
387,Yes,IN-2014-CA1226527-41794,Eastern Asia
388,Yes,UP-2014-AA645137-41807,Eastern Europe
389,Yes,NI-2014-MH745595-41696,Western Africa
390,Yes,ID-2015-EJ1415592-42299,Oceania
391,Yes,ID-2014-KD1649559-41807,Southeastern Asia
392,Yes,ES-2014-DK1298548-41711,Western Europe
393,Yes,BU-2014-MH745519-41670,Eastern Europe
394,Yes,ID-2015-NR18550102-42078,Southeastern Asia
395,Yes,IN-2012-JH1591027-41262,Eastern Asia
396,Yes,IN-2012-JL151307-40988,Oceania
397,Yes,IT-2015-AG1049545-42229,Western Europe
398,Yes,CA-2014-JF15565140-41686,Eastern US
399,Yes,IN-2014-SH2063527-41858,Eastern Asia
400,Yes,IN-2015-LD1700558-42285,Southern Asia
401,Yes,LO-2012-JL5850114-41121,Eastern Europe
402,Yes,BO-2014-KH636013-41859,Eastern Europe
403,Yes,US-2013-EM1382555-41579,Central America
404,Yes,IT-2015-MB1808591-42145,Western Europe
405,Yes,SF-2014-EL3735117-41875,Southern Africa
406,Yes,TU-2014-JF5565134-41818,Western Asia
407,Yes,MX-2014-BM1114055-41961,Central America
408,Yes,TU-2015-SW10275134-42311,Western Asia
409,Yes,ES-2014-SS208758-41683,Western Europe
410,Yes,US-2014-BW1120018-41979,South America
411,Yes,IN-2013-TD20995130-41609,Southeastern Asia
412,Yes,ES-2015-KB1660096-42048,Northern Europe
413,Yes,IN-2015-Dl1360058-42364,Southern Asia
414,Yes,ES-2014-MB18085139-41956,Northern Europe
415,Yes,IT-2015-AR10345139-42116,Northern Europe
416,Yes,IN-2013-JG1531027-41602,Eastern Asia
417,Yes,ES-2014-MC1810045-41982,Western Europe
418,Yes,CA-2015-HG15025140-42363,Eastern US
419,Yes,MO-2015-AB25586-42117,North Africa
420,Yes,US-2012-CS1246036-41247,Caribbean
421,Yes,ES-2014-JD1606045-41699,Western Europe
422,Yes,MX-2013-EM1381018-41552,South America
423,Yes,MX-2015-MY1829582-42321,Central America
424,Yes,CA-2015-KH16330140-42329,Eastern US
425,Yes,ES-2014-MG18205139-41867,Northern Europe
426,Yes,CA-2015-DO13645140-42343,Eastern US
427,Yes,IN-2014-ML177557-41922,Oceania
428,Yes,SA-2015-AR570110-42299,Western Asia
429,Yes,US-2015-LH16900140-42348,Central US
430,Yes,CA-2015-JE15745140-42111,Western US
431,Yes,CA-2013-MV17485140-41450,Central US
432,Yes,IT-2012-KH16690104-41037,Southern Europe
433,Yes,IN-2015-SL2015558-42222,Southern Asia
434,Yes,MX-2012-KM1672018-41242,South America
435,Yes,ID-2014-DB132107-41934,Oceania
436,Yes,IN-2012-CM1223527-41248,Eastern Asia
437,Yes,IN-2014-BD116207-41650,Oceania
438,Yes,CA-2015-OT18730140-42304,Southern US
439,Yes,AO-2013-JE57454-41544,Central Africa
440,Yes,EG-2014-SC1009538-41847,North Africa
441,Yes,ID-2013-GZ144707-41467,Oceania
442,Yes,ES-2015-MJ17740139-42073,Northern Europe
443,Yes,IR-2014-MM805560-41990,Southern Asia
444,Yes,IT-2014-TP2141545-41858,Western Europe
445,Yes,ID-2013-TG21640102-41508,Southeastern Asia
446,Yes,IN-2014-LS172307-41954,Oceania
447,Yes,IN-2012-GM1444058-41200,Southern Asia
448,Yes,TU-2012-AJ960134-40990,Western Asia
449,Yes,CA-2014-PF19225140-41817,Southern US
450,Yes,IN-2014-TB2162558-41724,Southern Asia
451,Yes,MX-2012-ND1837082-41223,Central America
452,Yes,ID-2015-MG1814592-42132,Oceania
453,Yes,CA-2014-CA12265140-41677,Southern US
454,Yes,SF-2012-MH7440117-41065,Southern Africa
455,Yes,MX-2012-AB1015093-41101,Central America
456,Yes,IZ-2015-EM396061-42110,Western Asia
457,Yes,IN-2015-AW1084058-42083,Southern Asia
458,Yes,ES-2015-PS1897045-42179,Western Europe
459,Yes,ES-2013-WB2185064-41587,Southern Europe
460,Yes,CA-2015-NC18535140-42096,Western US
461,Yes,MX-2014-LS1697518-41666,South America
462,Yes,IN-2012-SB2018559-41157,Southeastern Asia
463,Yes,ML-2014-BD177079-41893,Western Africa
464,Yes,MX-2015-CM1244582-42354,Central America
465,Yes,MX-2012-AW1084082-41192,Central America
466,Yes,MX-2015-CL1270093-42180,Central America
467,Yes,CA-2015-CC12475140-42278,Eastern US
468,Yes,MX-2014-AH1069093-41990,Central America
469,Yes,AO-2013-SF102004-41628,Central Africa
470,Yes,MX-2014-SZ2003518-41703,South America
471,Yes,EG-2015-RA994538-42342,North Africa
472,Yes,TU-2015-AG495134-42130,Western Asia
473,Yes,IN-2012-PR1888058-41013,Southern Asia
474,Yes,ES-2015-CS1235548-42010,Western Europe
475,Yes,IN-2015-MH1811558-42185,Southern Asia
476,Yes,IN-2015-JP1546058-42258,Southern Asia
477,Yes,IR-2015-CA196560-42201,Southern Asia
478,Yes,MX-2013-AF1087026-41536,South America
479,Yes,US-2012-JF15490140-41269,Western US
480,Yes,IN-2015-PS18760102-42263,Southeastern Asia
481,Yes,ES-2014-KT1646548-41678,Western Europe
482,Yes,ES-2014-MC1760548-41900,Western Europe
483,Yes,MX-2014-BE1145531-41650,Caribbean
484,Yes,CA-2015-BP11095140-42352,Eastern US
485,Yes,CG-2014-ML775533-41740,Central Africa
486,Yes,ID-2014-CV1280527-41773,Eastern Asia
487,Yes,SA-2013-RF9840110-41277,Western Asia
488,Yes,SF-2012-AG675117-40976,Southern Africa
489,Yes,US-2015-CR12820140-42284,Eastern US
490,Yes,ES-2013-MB1808545-41629,Western Europe
491,Yes,IN-2015-SC20260130-42032,Southeastern Asia
492,Yes,IN-2012-TS211607-41179,Oceania
493,Yes,IZ-2015-MO795061-42271,Western Asia
494,Yes,MX-2014-LL1684039-41853,Central America
495,Yes,ES-2013-EB14110139-41528,Northern Europe
496,Yes,CA-2015-BT11530140-42278,Western US
497,Yes,ES-2013-LC1714064-41409,Southern Europe
498,Yes,US-2013-DG13300140-41458,Eastern US
499,Yes,CA-2014-IG15085140-41808,Western US
500,Yes,ES-2015-LO17170139-42166,Northern Europe
501,Yes,IN-2015-SS2059059-42364,Southeastern Asia
502,Yes,AG-2014-CP20853-41889,North Africa
503,Yes,US-2012-AB1025582-40928,Central America
504,Yes,TU-2014-PK8910134-41798,Western Asia
505,Yes,IT-2015-JW1522091-42234,Western Europe
506,Yes,CA-2013-RH19510140-41544,Western US
507,Yes,ES-2014-DM13015120-41856,Southern Europe
508,Yes,NI-2013-JB600095-41621,Western Africa
509,Yes,US-2015-TC2114555-42166,Central America
510,Yes,IT-2013-DJ1351064-41352,Southern Europe
511,Yes,IN-2012-DB131207-41257,Oceania
512,Yes,IZ-2015-EH412561-42161,Western Asia
513,Yes,US-2013-KB16315140-41318,Eastern US
514,Yes,CA-2015-CV12805140-42025,Eastern US
515,Yes,MX-2015-AG1052518-42357,South America
516,Yes,IN-2012-MP179657-41242,Oceania
517,Yes,IN-2015-PG1882097-42251,Southern Asia
518,Yes,ES-2012-SW2024548-41073,Western Europe
519,Yes,IT-2012-MC1742548-41177,Western Europe
520,Yes,TU-2012-CS1845134-41235,Western Asia
521,Yes,CA-2015-SC20725140-42182,Eastern US
522,Yes,ES-2015-TP21415139-42251,Northern Europe
523,Yes,CA-2015-RA19915140-42357,Western US
